Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"6940 London Groveport Road, OH 43123",39.853672,-83.183282,Seller/Listing,"175,000",09/12/2022,Residential
"1631 Huxley Drive, Columbus, OH 43227",39.942476,-82.868308,Buyer,"160,000",09/22/2022,Residential
"271 Imperial Drive, Gahanna, OH 43230",40.025507,-82.893072,Buyer,"275,000",09/23/2022,Residential
"820 Saint Nicholas Avenue, Dayton, OH 45410",39.748686,-84.155657,Seller/Listing,"149,900",09/23/2022,Residential
"79 Limetree Drive, Delaware, OH 43015",40.299550,-83.099913,Seller/Listing,"295,000",09/27/2022,Residential
"6072 Pasqual Avenue, Columbus, OH 43213",39.985874,-82.840534,Seller/Listing,"375,000",10/14/2022,Residential
"6060 McClellon Drive, OH 43021",40.254037,-82.950424,Seller/Listing,"699,900",10/17/2022,Residential
"10238 State Route 521, OH 43074",40.324314,-82.874625,Buyer,"372,500",10/20/2022,Residential
"5381 Winchester Cathedral Drive, Columbus, OH 43110",39.872812,-82.807965,Seller/Listing,"265,000",10/28/2022,Residential
"270 Westwood Road, Columbus, OH 43214",40.047511,-83.027107,Buyer,"415,000",11/07/2022,Residential
"3838 Township Road 59, OH 43338",40.625189,-82.832128,Seller/Listing,"667,000",11/14/2022,Residential
"1495 Primrose Avenue, OH 43035",40.175031,-83.002359,Seller/Listing,"420,000",11/17/2022,Residential
"3512 Chipshot Court, Columbus, OH 43228",39.998772,-83.099555,Buyer,"300,000",11/23/2022,Residential
"2312 E 5th Avenue, Columbus, OH 43219",39.985807,-82.943031,Buyer,"235,000",11/30/2022,Residential
"215 Buckeye Circle, OH 43217",39.828760,-82.935828,Buyer,"85,000",11/30/2022,Residential
"6297 Marengo Street, Columbus, OH 43110",39.871956,-82.827940,Buyer,"230,000",12/05/2022,Residential
"109 Lake Bluff Drive, Columbus, OH 43235",40.129783,-83.013619,Buyer,"1,175,000",12/07/2022,Residential
"401 N Elm Street, Prospect, OH 43342",40.454287,-83.189584,Buyer,"129,000",12/12/2022,Residential
"1100 Brookhouse Lane, Gahanna, OH 43230",40.046450,-82.839945,Buyer,"1,889,000",12/12/2022,Residential
"3421 Fishinger Mill Drive, Columbus, OH 43026",40.023338,-83.110693,Buyer,"187,500",12/16/2022,Residential
"1019 Sutton Place Place, Columbus, OH 43068",39.960300,-82.826574,Buyer,"210,000",12/16/2022,Residential
"2804 Homecomer Drive, Grove City, OH 43123",39.884042,-83.079658,Seller/Listing,"235,000",12/20/2022,Residential
"723 Parkgrove Way, Columbus, OH 43035",40.150881,-83.000295,Buyer,"225,000",12/22/2022,Residential
"8071 Cranes Crossing Drive, OH 43035",40.170333,-83.010579,Seller/Listing,"209,000",01/06/2023,Residential
"480 Fallriver Drive, Reynoldsburg, OH 43068",39.974242,-82.802882,Seller/Listing,"379,000",01/06/2023,Residential
"2485 Round Rock Drive, Columbus, OH 43219",40.023361,-82.916807,Buyer,"289,990",01/17/2023,Residential
"6259 Buckman Street, OH 43035",40.186114,-82.979157,Buyer,"599,000",01/23/2023,Residential
"9274 Auburn Court, OH 43065",40.164365,-83.095352,Buyer,"525,000",01/31/2023,Residential
"4590 E Johnstown Road, OH 43230",40.050647,-82.850657,Buyer,"330,000",02/06/2023,Residential
